Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSG00000237683.5	AL627309.1	chr1	-	134901	139379	2.289648	5.487534	12.693370
ENSG00000188290.6	HES4	chr1	-	934342	935552	0.781998	2.086724	4.826861
ENSG00000187961.9	KLHL17	chr1	+	895967	901095	4.495884	26.192472	60.586552
ENSG00000187583.5	PLEKHN1	chr1	+	901877	911245	0.707323	3.271624	7.567687
ENSG00000187642.5	C1orf170	chr1	-	910579	917497	0.087874	0.210605	0.487157
ENSG00000187634.6	SAMD11	chr1	+	860260	879955	0.000000	0.000000	0.000000
ENSG00000268179.1	AL645608.1	chr1	-	861264	866445	0.000000	0.000000	0.000000
ENSG00000188976.6	NOC2L	chr1	-	879584	894689	11.608978	128.609024	297.489197
ENSG00000186891.9	TNFRSF18	chr1	-	1138888	1142071	0.545123	3.797873	8.784968
ENSG00000186827.6	TNFRSF4	chr1	-	1146706	1149518	0.814558	7.170540	16.586382
ENSG00000162571.9	TTLL10	chr1	+	1109264	1133315	0.009316	0.077815	0.179996
ENSG00000131591.13	C1orf159	chr1	-	1017198	1051741	0.260325	9.520554	22.022264
ENSG00000187608.5	ISG15	chr1	+	948803	949920	752.322876	2809.194580	6498.027344
ENSG00000188157.9	AGRN	chr1	+	955503	991496	6.966839	79.155701	183.097321
ENSG00000184163.3	FAM132A	chr1	-	1177826	1182102	0.086509	0.882519	2.041380
ENSG00000176022.3	B3GALT6	chr1	+	1167629	1170421	13.828857	33.143227	76.664536
ENSG00000078808.12	SDF4	chr1	-	1152288	1167411	11.047059	189.103851	437.421478
ENSG00000162572.15	SCNN1D	chr1	+	1215816	1227409	0.143690	0.949647	2.196656
ENSG00000160087.16	UBE2J2	chr1	-	1189289	1209265	4.749382	169.048645	391.031250
ENSG00000224051.2	GLTPD1	chr1	+	1260136	1264277	7.703597	35.943069	83.140938
ENSG00000162576.11	MXRA8	chr1	-	1288069	1297157	0.299813	0.718553	1.662106
ENSG00000169962.4	TAS1R3	chr1	+	1266694	1270686	1.062610	2.546727	5.890906
ENSG00000107404.13	DVL1	chr1	-	1270656	1284730	3.137074	40.221619	93.037766
