Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSG00000237683.5	AL627309.1	chr1	-	134901	139379	0.935030	1.523435	3.608133
ENSG00000269831.1	AL669831.1	chr1	-	738532	739137	0.396040	0.645264	1.528256
ENSG00000188290.6	HES4	chr1	-	934342	935552	3.436379	5.880417	13.927295
ENSG00000187583.5	PLEKHN1	chr1	+	901877	911245	0.288934	0.578393	1.369877
ENSG00000187642.5	C1orf170	chr1	-	910579	917497	0.000000	0.000000	0.000000
ENSG00000187961.9	KLHL17	chr1	+	895967	901095	6.032131	27.532864	65.209381
ENSG00000187634.6	SAMD11	chr1	+	860260	879955	0.000000	0.000000	0.000000
ENSG00000268179.1	AL645608.1	chr1	-	861264	866445	0.000000	0.000000	0.000000
ENSG00000188976.6	NOC2L	chr1	-	879584	894689	13.064568	116.361771	275.593506
ENSG00000186891.9	TNFRSF18	chr1	-	1138888	1142071	0.743927	4.119368	9.756392
ENSG00000186827.6	TNFRSF4	chr1	-	1146706	1149518	1.379185	7.422335	17.579203
ENSG00000187608.5	ISG15	chr1	+	948803	949920	1351.818359	3436.237793	8138.452637
ENSG00000131591.13	C1orf159	chr1	-	1017198	1051741	0.904738	18.713356	44.321079
ENSG00000188157.9	AGRN	chr1	+	955503	991496	10.007255	83.324806	197.348099
ENSG00000184163.3	FAM132A	chr1	-	1177826	1182102	0.159914	1.602237	3.794770
ENSG00000176022.3	B3GALT6	chr1	+	1167629	1170421	30.037594	48.939949	115.910332
ENSG00000078808.12	SDF4	chr1	-	1152288	1167411	17.470716	195.883759	463.934906
ENSG00000162572.15	SCNN1D	chr1	+	1215816	1227409	0.240513	0.773717	1.832487
ENSG00000160087.16	UBE2J2	chr1	-	1189289	1209265	6.762316	162.959412	385.956268
ENSG00000224051.2	GLTPD1	chr1	+	1260136	1264277	13.006798	41.854687	99.129456
ENSG00000162576.11	MXRA8	chr1	-	1288069	1297157	0.415227	0.676525	1.602296
ENSG00000169962.4	TAS1R3	chr1	+	1266694	1270686	0.262584	0.427827	1.013274
ENSG00000107404.13	DVL1	chr1	-	1270656	1284730	4.415644	38.293476	90.695023
ENSG00000175756.9	AURKAIP1	chr1	-	1309110	1310875	195.799789	563.054810	1333.549927
ENSG00000131584.14	ACAP3	chr1	-	1227756	1244989	4.002977	41.921619	99.287987
ENSG00000169972.7	PUSL1	chr1	+	1243947	1247057	10.256309	40.298218	95.443092
ENSG00000127054.13	CPSF3L	chr1	-	1246965	1260071	25.117975	265.004059	627.640808
ENSG00000221978.7	CCNL2	chr1	-	1321091	1334708	13.829700	142.411713	337.290649
ENSG00000235098.4	ANKRD65	chr1	-	1353800	1357149	0.362090	0.589950	1.397248
ENSG00000179403.10	VWA1	chr1	+	1370241	1378262	2.006856	5.462507	12.937510
ENSG00000215915.5	ATAD3C	chr1	+	1385069	1405538	0.097607	1.414768	3.350764
ENSG00000224870.3	RP4-758J18.2	chr1	+	1334902	1337426	31.692205	76.500969	181.186417
ENSG00000242485.1	MRPL20	chr1	-	1337288	1342693	75.086647	895.341858	2120.545410
ENSG00000205090.4	TMEM240	chr1	-	1470554	1475833	0.028220	0.045979	0.108897
ENSG00000160072.14	ATAD3B	chr1	+	1407143	1433228	5.483369	52.092823	123.377663
