Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSG00000237683.5	AL627309.1	chr1	-	134901	139379	1.918640	3.766177	9.154189
ENSG00000269831.1	AL669831.1	chr1	-	738532	739137	0.250825	0.492355	1.196733
ENSG00000188290.6	HES4	chr1	-	934342	935552	0.357556	0.701861	1.705966
ENSG00000187961.9	KLHL17	chr1	+	895967	901095	1.971557	10.557634	25.661720
ENSG00000187583.5	PLEKHN1	chr1	+	901877	911245	0.315728	0.711154	1.728553
ENSG00000187642.5	C1orf170	chr1	-	910579	917497	0.109842	0.215613	0.524077
ENSG00000187634.6	SAMD11	chr1	+	860260	879955	0.021001	0.086110	0.209302
ENSG00000268179.1	AL645608.1	chr1	-	861264	866445	0.000000	0.000000	0.000000
ENSG00000188976.6	NOC2L	chr1	-	879584	894689	12.112530	121.503738	295.330841
ENSG00000187608.5	ISG15	chr1	+	948803	949920	442.268341	1349.743042	3280.728027
ENSG00000186827.6	TNFRSF4	chr1	-	1146706	1149518	0.770676	4.250591	10.331622
ENSG00000186891.9	TNFRSF18	chr1	-	1138888	1142071	1.670539	8.836159	21.477448
ENSG00000131591.13	C1orf159	chr1	-	1017198	1051741	0.385488	2.349754	5.711387
ENSG00000188157.9	AGRN	chr1	+	955503	991496	4.103677	39.678749	96.444427
ENSG00000184163.3	FAM132A	chr1	-	1177826	1182102	0.045749	0.385936	0.938068
ENSG00000176022.3	B3GALT6	chr1	+	1167629	1170421	1.644096	3.227263	7.844288
ENSG00000078808.12	SDF4	chr1	-	1152288	1167411	12.864439	176.891724	429.958618
ENSG00000162572.15	SCNN1D	chr1	+	1215816	1227409	0.037621	0.187598	0.455982
ENSG00000160087.16	UBE2J2	chr1	-	1189289	1209265	4.286474	114.504120	278.317352
ENSG00000224051.2	GLTPD1	chr1	+	1260136	1264277	7.780202	28.824162	70.060921
ENSG00000162576.11	MXRA8	chr1	-	1288069	1297157	0.307845	0.604282	1.468786
ENSG00000169962.4	TAS1R3	chr1	+	1266694	1270686	0.268470	0.526991	1.280920
ENSG00000107404.13	DVL1	chr1	-	1270656	1284730	2.898348	30.751678	74.746002
ENSG00000175756.9	AURKAIP1	chr1	-	1309110	1310875	86.857529	291.907196	709.518860
ENSG00000131584.14	ACAP3	chr1	-	1227756	1244989	2.168431	39.917843	97.025574
ENSG00000169972.7	PUSL1	chr1	+	1243947	1247057	4.939482	22.987247	55.873531
ENSG00000127054.13	CPSF3L	chr1	-	1246965	1260071	15.609869	206.635345	502.254425
ENSG00000221978.7	CCNL2	chr1	-	1321091	1334708	8.749590	107.630501	261.610077
ENSG00000235098.4	ANKRD65	chr1	-	1353800	1357149	0.587761	1.153740	2.804317
ENSG00000179403.10	VWA1	chr1	+	1370241	1378262	0.779294	2.851181	6.930172
ENSG00000215915.5	ATAD3C	chr1	+	1385069	1405538	0.077170	2.763312	6.716595
ENSG00000224870.3	RP4-758J18.2	chr1	+	1334902	1337426	17.717064	55.844681	135.737854
ENSG00000242485.1	MRPL20	chr1	-	1337288	1342693	35.468174	520.580078	1265.338501
