Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSG00000237683.5	AL627309.1	chr1	-	134901	139379	0.527648	0.975627	2.349148
ENSG00000269831.1	AL669831.1	chr1	-	738532	739137	0.343234	0.634643	1.528116
ENSG00000188290.6	HES4	chr1	-	934342	935552	1.871237	3.747556	9.023495
ENSG00000187583.5	PLEKHN1	chr1	+	901877	911245	0.422087	1.723942	4.150966
ENSG00000187642.5	C1orf170	chr1	-	910579	917497	0.000000	0.000000	0.000000
ENSG00000187961.9	KLHL17	chr1	+	895967	901095	7.889812	33.321751	80.233269
ENSG00000187634.6	SAMD11	chr1	+	860260	879955	0.007926	0.047540	0.114468
ENSG00000268179.1	AL645608.1	chr1	-	861264	866445	0.000000	0.000000	0.000000
ENSG00000188976.6	NOC2L	chr1	-	879584	894689	17.551134	150.888458	363.314453
ENSG00000187608.5	ISG15	chr1	+	948803	949920	237.078705	683.366943	1645.434570
ENSG00000237330.1	RNF223	chr1	-	1007126	1009687	0.118657	0.219398	0.528274
ENSG00000186827.6	TNFRSF4	chr1	-	1146706	1149518	1.275191	8.157739	19.642485
ENSG00000186891.9	TNFRSF18	chr1	-	1138888	1142071	3.148231	13.129601	31.613905
ENSG00000131591.13	C1orf159	chr1	-	1017198	1051741	1.279118	22.039577	53.067657
ENSG00000184163.3	FAM132A	chr1	-	1177826	1182102	0.119018	1.168811	2.814304
ENSG00000176022.3	B3GALT6	chr1	+	1167629	1170421	9.555675	17.668543	42.542931
ENSG00000188157.9	AGRN	chr1	+	955503	991496	11.320756	103.909851	250.197754
ENSG00000078808.12	SDF4	chr1	-	1152288	1167411	11.715776	150.300201	361.898010
ENSG00000162572.15	SCNN1D	chr1	+	1215816	1227409	0.271108	1.646450	3.964378
ENSG00000160087.16	UBE2J2	chr1	-	1189289	1209265	5.138567	127.269882	306.444824
ENSG00000224051.2	GLTPD1	chr1	+	1260136	1264277	9.730083	32.928226	79.285728
ENSG00000162576.11	MXRA8	chr1	-	1288069	1297157	0.540103	0.998656	2.404599
ENSG00000169962.4	TAS1R3	chr1	+	1266694	1270686	0.868770	1.606365	3.867861
ENSG00000107404.13	DVL1	chr1	-	1270656	1284730	4.617557	39.960487	96.218246
ENSG00000175756.9	AURKAIP1	chr1	-	1309110	1310875	121.873466	388.624817	935.744324
ENSG00000131584.14	ACAP3	chr1	-	1227756	1244989	5.005481	72.052322	173.490067
ENSG00000169972.7	PUSL1	chr1	+	1243947	1247057	7.903966	35.120277	84.563820
ENSG00000127054.13	CPSF3L	chr1	-	1246965	1260071	22.236450	273.853363	659.393616
ENSG00000221978.7	CCNL2	chr1	-	1321091	1334708	14.801320	148.847260	358.399567
ENSG00000235098.4	ANKRD65	chr1	-	1353800	1357149	0.408358	0.755058	1.818055
