Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSG00000237683.5	AL627309.1	chr1	-	134901	139379	1.630944	4.125027	9.651414
ENSG00000187961.9	KLHL17	chr1	+	895967	901095	5.577678	35.206062	82.372368
ENSG00000187583.5	PLEKHN1	chr1	+	901877	911245	0.668033	2.733434	6.395474
ENSG00000187642.5	C1orf170	chr1	-	910579	917497	0.065038	0.866715	2.027873
ENSG00000188290.6	HES4	chr1	-	934342	935552	19.264992	60.458912	141.457001
ENSG00000187634.6	SAMD11	chr1	+	860260	879955	0.007616	0.019263	0.045069
ENSG00000268179.1	AL645608.1	chr1	-	861264	866445	0.000000	0.000000	0.000000
ENSG00000188976.6	NOC2L	chr1	-	879584	894689	8.868102	96.859367	226.623932
ENSG00000187608.5	ISG15	chr1	+	948803	949920	936.279053	3686.921875	8626.369141
ENSG00000186891.9	TNFRSF18	chr1	-	1138888	1142071	6.024787	39.660011	92.793365
ENSG00000186827.6	TNFRSF4	chr1	-	1146706	1149518	9.562361	55.418282	129.663330
ENSG00000131591.13	C1orf159	chr1	-	1017198	1051741	0.595296	10.961829	25.647623
ENSG00000188157.9	AGRN	chr1	+	955503	991496	13.498808	172.229630	402.969360
ENSG00000078808.12	SDF4	chr1	-	1152288	1167411	14.808288	279.736115	654.504578
ENSG00000176022.3	B3GALT6	chr1	+	1167629	1170421	10.935554	27.658497	64.713173
ENSG00000162572.15	SCNN1D	chr1	+	1215816	1227409	0.105877	0.517336	1.210421
ENSG00000184163.3	FAM132A	chr1	-	1177826	1182102	0.149097	0.532405	1.245679
ENSG00000160087.16	UBE2J2	chr1	-	1189289	1209265	5.010911	201.442032	471.318207
ENSG00000224051.2	GLTPD1	chr1	+	1260136	1264277	10.231879	49.515072	115.851471
ENSG00000162576.11	MXRA8	chr1	-	1288069	1297157	0.252283	0.638081	1.492931
ENSG00000169962.4	TAS1R3	chr1	+	1266694	1270686	0.412472	1.043235	2.440880
