Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSG00000237683.5	AL627309.1	chr1	-	134901	139379	1.195654	2.234739	5.477886
ENSG00000269831.1	AL669831.1	chr1	-	738532	739137	0.445545	0.832747	2.041263
ENSG00000188290.6	HES4	chr1	-	934342	935552	0.248555	0.529020	1.296756
ENSG00000187961.9	KLHL17	chr1	+	895967	901095	1.931768	9.021767	22.114531
ENSG00000187583.5	PLEKHN1	chr1	+	901877	911245	0.215700	0.812135	1.990739
ENSG00000187642.5	C1orf170	chr1	-	910579	917497	0.021968	0.041059	0.100646
ENSG00000187634.6	SAMD11	chr1	+	860260	879955	0.020067	0.037506	0.091937
ENSG00000268179.1	AL645608.1	chr1	-	861264	866445	0.000000	0.000000	0.000000
ENSG00000188976.6	NOC2L	chr1	-	879584	894689	8.234626	81.850395	200.635086
ENSG00000187608.5	ISG15	chr1	+	948803	949920	95.331825	275.751740	675.934204
ENSG00000162571.9	TTLL10	chr1	+	1109264	1133315	0.006320	0.011812	0.028955
ENSG00000186827.6	TNFRSF4	chr1	-	1146706	1149518	0.248288	0.920798	2.257097
ENSG00000186891.9	TNFRSF18	chr1	-	1138888	1142071	1.483756	11.005037	26.976007
ENSG00000131591.13	C1orf159	chr1	-	1017198	1051741	0.221500	0.413995	1.014802
ENSG00000188157.9	AGRN	chr1	+	955503	991496	2.026329	28.385340	69.579330
ENSG00000184163.3	FAM132A	chr1	-	1177826	1182102	0.035539	0.066424	0.162822
ENSG00000176022.3	B3GALT6	chr1	+	1167629	1170421	12.758682	23.846636	58.453869
ENSG00000162572.15	SCNN1D	chr1	+	1215816	1227409	0.019681	0.097996	0.240212
ENSG00000160087.16	UBE2J2	chr1	-	1189289	1209265	3.701192	97.364899	238.664917
ENSG00000078808.12	SDF4	chr1	-	1152288	1167411	10.198309	134.611130	329.964417
ENSG00000224051.2	GLTPD1	chr1	+	1260136	1264277	6.007057	21.008192	51.496159
ENSG00000162576.11	MXRA8	chr1	-	1288069	1297157	0.150842	0.281931	0.691082
ENSG00000169962.4	TAS1R3	chr1	+	1266694	1270686	0.265715	0.496635	1.217373
ENSG00000107404.13	DVL1	chr1	-	1270656	1284730	1.591573	15.602291	38.244987
ENSG00000175756.9	AURKAIP1	chr1	-	1309110	1310875	72.245964	215.966446	529.385925
ENSG00000131584.14	ACAP3	chr1	-	1227756	1244989	1.246234	18.179554	44.562485
ENSG00000169972.7	PUSL1	chr1	+	1243947	1247057	4.670194	20.699875	50.740395
ENSG00000127054.13	CPSF3L	chr1	-	1246965	1260071	11.938826	148.902008	364.994812
ENSG00000221978.7	CCNL2	chr1	-	1321091	1334708	8.944695	96.469887	236.470993
ENSG00000235098.4	ANKRD65	chr1	-	1353800	1357149	0.317612	0.593633	1.455139
ENSG00000179403.10	VWA1	chr1	+	1370241	1378262	1.185997	3.761154	9.219498
ENSG00000215915.5	ATAD3C	chr1	+	1385069	1405538	0.165562	1.024010	2.510097
ENSG00000160072.14	ATAD3B	chr1	+	1407143	1433228	1.146923	14.004015	34.327225
ENSG00000224870.3	RP4-758J18.2	chr1	+	1334902	1337426	17.082996	52.316925	128.241440
ENSG00000242485.1	MRPL20	chr1	-	1337288	1342693	39.233925	540.249634	1324.282471
ENSG00000197785.9	ATAD3A	chr1	+	1447531	1470067	2.120976	34.301682	84.081718
ENSG00000215014.3	AL645728.1	chr1	+	1510355	1511373	0.894995	1.672792	4.100417
ENSG00000228594.1	C1orf233	chr1	-	1533392	1535476	1.306475	2.441869	5.985612
ENSG00000197530.8	MIB2	chr1	+	1550795	1565990	0.498998	4.816216	11.805708
ENSG00000160075.10	SSU72	chr1	-	1477053	1510249	10.100932	457.417999	1121.242188
ENSG00000215790.2	SLC35E2	chr1	-	1656277	1677431	4.067852	16.185255	39.673977
ENSG00000189409.8	MMP23B	chr1	+	1567474	1570639	0.000000	0.000000	0.000000
