Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSG00000237683.5	AL627309.1	chr1	-	134901	139379	0.923625	2.210772	5.521008
ENSG00000269831.1	AL669831.1	chr1	-	738532	739137	0.247525	0.592471	1.479591
ENSG00000188290.6	HES4	chr1	-	934342	935552	6.673634	19.291790	48.177803
ENSG00000187961.9	KLHL17	chr1	+	895967	901095	3.196929	23.143610	57.797039
ENSG00000187634.6	SAMD11	chr1	+	860260	879955	0.007616	0.018230	0.045525
ENSG00000268179.1	AL645608.1	chr1	-	861264	866445	0.000000	0.000000	0.000000
ENSG00000188976.6	NOC2L	chr1	-	879584	894689	5.708483	58.974827	147.279114
ENSG00000187583.5	PLEKHN1	chr1	+	901877	911245	0.523294	1.885927	4.709766
ENSG00000187642.5	C1orf170	chr1	-	910579	917497	0.129643	0.310311	0.774947
ENSG00000187608.5	ISG15	chr1	+	948803	949920	206.658890	767.867981	1917.613281
ENSG00000237330.1	RNF223	chr1	-	1007126	1009687	0.058548	0.140139	0.349973
ENSG00000186827.6	TNFRSF4	chr1	-	1146706	1149518	1.364679	7.035215	17.569195
ENSG00000186891.9	TNFRSF18	chr1	-	1138888	1142071	4.512659	31.448128	78.536095
ENSG00000131591.13	C1orf159	chr1	-	1017198	1051741	0.369518	8.340809	20.829683
ENSG00000176022.3	B3GALT6	chr1	+	1167629	1170421	6.744719	16.144035	40.316849
ENSG00000184163.3	FAM132A	chr1	-	1177826	1182102	0.385435	3.327210	8.309114
ENSG00000188157.9	AGRN	chr1	+	955503	991496	9.527565	122.486214	305.887482
ENSG00000078808.12	SDF4	chr1	-	1152288	1167411	12.516294	219.153519	547.296814
ENSG00000162572.15	SCNN1D	chr1	+	1215816	1227409	0.114589	0.809639	2.021928
ENSG00000160087.16	UBE2J2	chr1	-	1189289	1209265	3.145434	114.413437	285.727173
ENSG00000224051.2	GLTPD1	chr1	+	1260136	1264277	8.890633	39.692924	99.125999
ENSG00000162576.11	MXRA8	chr1	-	1288069	1297157	0.317087	0.758974	1.895401
ENSG00000169962.4	TAS1R3	chr1	+	1266694	1270686	0.336839	0.806252	2.013470
ENSG00000107404.13	DVL1	chr1	-	1270656	1284730	3.546796	39.111629	97.674324
ENSG00000175756.9	AURKAIP1	chr1	-	1309110	1310875	79.558517	346.898499	866.317139
ENSG00000205116.3	TMEM88B	chr1	+	1361508	1363167	0.180723	0.432575	1.080280
ENSG00000235098.4	ANKRD65	chr1	-	1353800	1357149	0.546269	1.307539	3.265347
ENSG00000221978.7	CCNL2	chr1	-	1321091	1334708	5.967069	92.365738	230.666962
ENSG00000131584.14	ACAP3	chr1	-	1227756	1244989	4.557724	77.210030	192.818268
ENSG00000169972.7	PUSL1	chr1	+	1243947	1247057	6.607001	38.841850	97.000587
ENSG00000127054.13	CPSF3L	chr1	-	1246965	1260071	10.496243	161.014862	402.105896
ENSG00000224870.3	RP4-758J18.2	chr1	+	1334902	1337426	8.379402	28.273457	70.607918
ENSG00000242485.1	MRPL20	chr1	-	1337288	1342693	14.527038	254.640182	635.918457
ENSG00000179403.10	VWA1	chr1	+	1370241	1378262	6.468276	27.600521	68.927383
ENSG00000205090.4	TMEM240	chr1	-	1470554	1475833	0.028409	0.067999	0.169816
ENSG00000215014.3	AL645728.1	chr1	+	1510355	1511373	0.295388	0.707035	1.765695
ENSG00000228594.1	C1orf233	chr1	-	1533392	1535476	0.501199	1.199661	2.995939
ENSG00000215915.5	ATAD3C	chr1	+	1385069	1405538	0.072507	3.977355	9.932734
ENSG00000160072.14	ATAD3B	chr1	+	1407143	1433228	1.748259	27.674473	69.112061
ENSG00000197785.9	ATAD3A	chr1	+	1447531	1470067	2.831912	71.467239	178.476685
ENSG00000160075.10	SSU72	chr1	-	1477053	1510249	4.712209	280.591003	700.726013
ENSG00000197530.8	MIB2	chr1	+	1550795	1565990	2.609718	36.022873	89.960701
ENSG00000215790.2	SLC35E2	chr1	-	1656277	1677431	1.866721	8.160873	20.380327
ENSG00000189409.8	MMP23B	chr1	+	1567474	1570639	0.000000	0.000000	0.000000
ENSG00000248333.3	CDK11B	chr1	-	1570603	1590473	2.331906	42.649982	106.510735
ENSG00000189339.7	SLC35E2B	chr1	-	1592939	1624167	1.728454	30.310425	75.694878
ENSG00000008128.18	CDK11A	chr1	-	1634169	1655766	0.825736	29.509838	73.695557
ENSG00000008130.11	NADK	chr1	-	1682671	1711896	3.492278	85.615921	213.810516
ENSG00000169885.5	CALML6	chr1	+	1846266	1848735	0.060729	0.145360	0.363010
ENSG00000178821.8	TMEM52	chr1	-	1849029	1850712	0.527316	1.785071	4.457896
ENSG00000197921.5	HES5	chr1	-	2460184	2461684	0.679908	1.627415	4.064179
ENSG00000067606.11	PRKCZ	chr1	+	1981909	2116834	0.053118	5.326019	13.300781
ENSG00000162585.11	C1orf86	chr1	-	2115903	2144159	1.939683	125.198410	312.660706
ENSG00000269554.1	AL590822.2	chr1	+	2121237	2123179	0.027806	0.066556	0.166212
ENSG00000203301.2	AL590822.1	chr1	-	2143360	2145620	0.000000	0.000000	0.000000
ENSG00000157933.9	SKI	chr1	+	2160134	2241558	0.704730	20.448856	51.067371
ENSG00000157881.9	PANK4	chr1	-	2439972	2458039	2.703960	48.382122	120.825722
ENSG00000149527.12	PLCH2	chr1	+	2357419	2436969	0.015663	0.037491	0.093626
ENSG00000078369.12	GNB1	chr1	-	1716729	1822495	8.003490	642.711975	1605.058594
ENSG00000116151.8	MORN1	chr1	-	2252692	2323146	0.078743	3.013897	7.526671
ENSG00000269753.1	AL589739.1	chr1	+	2258581	2259042	0.000000	0.000000	0.000000
ENSG00000157916.13	RER1	chr1	+	2323267	2335190	8.841360	168.505524	420.812500
ENSG00000157911.5	PEX10	chr1	-	2336236	2345236	4.748898	49.892288	124.597099
ENSG00000142611.11	PRDM16	chr1	+	2985732	3355185	0.000809	0.001936	0.004836
