Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSG00000237683.5	AL627309.1	chr1	-	134901	139379	0.100469	0.187617	0.476376
ENSG00000269831.1	AL669831.1	chr1	-	738532	739137	0.141914	0.265011	0.672889
ENSG00000269308.1	AL645608.2	chr1	+	818043	819983	0.077280	0.144313	0.366425
ENSG00000188290.6	HES4	chr1	-	934342	935552	1.843931	3.997963	10.151201
ENSG00000187961.9	KLHL17	chr1	+	895967	901095	2.633263	10.903462	27.684910
ENSG00000187583.5	PLEKHN1	chr1	+	901877	911245	0.252981	0.955213	2.425375
ENSG00000187642.5	C1orf170	chr1	-	910579	917497	0.000000	0.000000	0.000000
ENSG00000187634.6	SAMD11	chr1	+	860260	879955	0.000000	0.000000	0.000000
ENSG00000268179.1	AL645608.1	chr1	-	861264	866445	0.000000	0.000000	0.000000
ENSG00000188976.6	NOC2L	chr1	-	879584	894689	11.564258	125.029556	317.461700
ENSG00000187608.5	ISG15	chr1	+	948803	949920	169.766541	493.796082	1253.794189
ENSG00000186827.6	TNFRSF4	chr1	-	1146706	1149518	0.946639	3.569307	9.062803
ENSG00000162571.9	TTLL10	chr1	+	1109264	1133315	0.018543	0.034627	0.087922
ENSG00000186891.9	TNFRSF18	chr1	-	1138888	1142071	3.991053	17.386396	44.145679
ENSG00000131591.13	C1orf159	chr1	-	1017198	1051741	0.610441	6.795997	17.255669
ENSG00000188157.9	AGRN	chr1	+	955503	991496	4.518427	45.285213	114.983376
ENSG00000184163.3	FAM132A	chr1	-	1177826	1182102	0.070143	0.712657	1.809503
ENSG00000176022.3	B3GALT6	chr1	+	1167629	1170421	5.684210	10.614742	26.951822
ENSG00000078808.12	SDF4	chr1	-	1152288	1167411	12.806946	174.939987	444.188965
ENSG00000162572.15	SCNN1D	chr1	+	1215816	1227409	0.024582	0.045905	0.116556
ENSG00000160087.16	UBE2J2	chr1	-	1189289	1209265	4.986148	141.286575	358.739807
ENSG00000224051.2	GLTPD1	chr1	+	1260136	1264277	8.687074	30.991714	78.690849
ENSG00000162576.11	MXRA8	chr1	-	1288069	1297157	0.278909	0.520837	1.322454
ENSG00000169962.4	TAS1R3	chr1	+	1266694	1270686	0.394440	0.736581	1.870247
ENSG00000107404.13	DVL1	chr1	-	1270656	1284730	4.600822	40.028042	101.634926
ENSG00000175756.9	AURKAIP1	chr1	-	1309110	1310875	92.937569	308.303284	782.810791
ENSG00000131584.14	ACAP3	chr1	-	1227756	1244989	1.886149	24.573124	62.393452
ENSG00000169972.7	PUSL1	chr1	+	1243947	1247057	9.806204	45.129593	114.588249
ENSG00000127054.13	CPSF3L	chr1	-	1246965	1260071	13.539567	166.962967	423.934540
ENSG00000221978.7	CCNL2	chr1	-	1321091	1334708	7.279560	79.390099	201.578873
ENSG00000235098.4	ANKRD65	chr1	-	1353800	1357149	0.172239	1.382689	3.510777
ENSG00000179403.10	VWA1	chr1	+	1370241	1378262	0.459445	0.857972	2.178470
ENSG00000224870.3	RP4-758J18.2	chr1	+	1334902	1337426	13.098306	35.299522	89.628777
ENSG00000242485.1	MRPL20	chr1	-	1337288	1342693	25.920607	339.995941	863.281433
ENSG00000215915.5	ATAD3C	chr1	+	1385069	1405538	0.064963	0.121312	0.308024
ENSG00000160072.14	ATAD3B	chr1	+	1407143	1433228	2.393414	28.653580	72.754112
ENSG00000197785.9	ATAD3A	chr1	+	1447531	1470067	4.563914	70.855019	179.907501
ENSG00000215014.3	AL645728.1	chr1	+	1510355	1511373	0.441609	0.824664	2.093900
ENSG00000228594.1	C1orf233	chr1	-	1533392	1535476	2.798082	5.225163	13.267175
ENSG00000160075.10	SSU72	chr1	-	1477053	1510249	7.401392	326.233612	828.337524
ENSG00000197530.8	MIB2	chr1	+	1550795	1565990	2.018084	44.160927	112.128716
ENSG00000189409.8	MMP23B	chr1	+	1567474	1570639	0.000000	0.000000	0.000000
ENSG00000248333.3	CDK11B	chr1	-	1570603	1590473	2.787427	48.300858	122.640381
ENSG00000189339.7	SLC35E2B	chr1	-	1592939	1624167	2.616605	41.988136	106.611786
ENSG00000008128.18	CDK11A	chr1	-	1634169	1655766	1.696693	35.020916	88.921379
ENSG00000215790.2	SLC35E2	chr1	-	1656277	1677431	1.752138	5.525037	14.028584
ENSG00000008130.11	NADK	chr1	-	1682671	1711896	4.510707	92.815544	235.667313
ENSG00000116151.8	MORN1	chr1	-	2252692	2323146	0.201078	1.231274	3.126320
ENSG00000269753.1	AL589739.1	chr1	+	2258581	2259042	0.000000	0.000000	0.000000
ENSG00000197921.5	HES5	chr1	-	2460184	2461684	0.894071	1.669596	4.239260
ENSG00000157933.9	SKI	chr1	+	2160134	2241558	1.230592	30.147835	76.548164
ENSG00000157881.9	PANK4	chr1	-	2439972	2458039	3.388673	46.823166	118.888390
ENSG00000157916.13	RER1	chr1	+	2323267	2335190	10.871349	173.533813	440.618561
ENSG00000157911.5	PEX10	chr1	-	2336236	2345236	5.719588	48.077305	122.072762
ENSG00000149527.12	PLCH2	chr1	+	2357419	2436969	0.030832	0.197415	0.501255
ENSG00000157873.13	TNFRSF14	chr1	+	2487078	2496821	17.102484	160.697556	408.026062
