Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSG00000237683.5	AL627309.1	chr1	-	134901	139379	0.161866	0.351651	0.795725
ENSG00000269831.1	AL669831.1	chr1	-	738532	739137	0.067657	0.146984	0.332598
ENSG00000187583.5	PLEKHN1	chr1	+	901877	911245	0.052795	0.174066	0.393880
ENSG00000187642.5	C1orf170	chr1	-	910579	917497	0.000000	0.000000	0.000000
ENSG00000187961.9	KLHL17	chr1	+	895967	901095	2.726606	16.057207	36.334648
ENSG00000187634.6	SAMD11	chr1	+	860260	879955	0.000000	0.000000	0.000000
ENSG00000268179.1	AL645608.1	chr1	-	861264	866445	0.000000	0.000000	0.000000
ENSG00000188976.6	NOC2L	chr1	-	879584	894689	13.375968	143.749451	325.279877
ENSG00000187608.5	ISG15	chr1	+	948803	949920	96.843468	327.531799	741.147217
ENSG00000237330.1	RNF223	chr1	-	1007126	1009687	0.059329	0.128891	0.291658
ENSG00000162571.9	TTLL10	chr1	+	1109264	1133315	0.012639	0.027458	0.062133
ENSG00000186827.6	TNFRSF4	chr1	-	1146706	1149518	1.854668	10.300772	23.308846
ENSG00000186891.9	TNFRSF18	chr1	-	1138888	1142071	4.670012	29.508524	66.772629
ENSG00000131591.13	C1orf159	chr1	-	1017198	1051741	0.398760	4.272164	9.667161
ENSG00000188157.9	AGRN	chr1	+	955503	991496	2.986932	38.247246	86.546822
ENSG00000184163.3	FAM132A	chr1	-	1177826	1182102	0.194103	2.491526	5.637888
ENSG00000176022.3	B3GALT6	chr1	+	1167629	1170421	18.182241	39.500595	89.382942
ENSG00000078808.12	SDF4	chr1	-	1152288	1167411	13.325698	199.136215	450.610413
ENSG00000162572.15	SCNN1D	chr1	+	1215816	1227409	0.109065	0.236942	0.536158
ENSG00000160087.16	UBE2J2	chr1	-	1189289	1209265	4.952258	161.165817	364.690033
ENSG00000224051.2	GLTPD1	chr1	+	1260136	1264277	9.170909	38.006065	86.001076
ENSG00000162576.11	MXRA8	chr1	-	1288069	1297157	0.128727	0.279657	0.632815
ENSG00000169962.4	TAS1R3	chr1	+	1266694	1270686	0.151766	0.329709	0.746074
ENSG00000107404.13	DVL1	chr1	-	1270656	1284730	3.459094	38.496243	87.110260
ENSG00000175756.9	AURKAIP1	chr1	-	1309110	1310875	126.092690	485.759705	1099.189331
ENSG00000131584.14	ACAP3	chr1	-	1227756	1244989	3.177120	32.214565	72.895927
ENSG00000169972.7	PUSL1	chr1	+	1243947	1247057	9.334582	48.501175	109.749680
ENSG00000127054.13	CPSF3L	chr1	-	1246965	1260071	17.195623	293.590240	664.343384
ENSG00000221978.7	CCNL2	chr1	-	1321091	1334708	6.430696	84.875420	192.058228
ENSG00000235098.4	ANKRD65	chr1	-	1353800	1357149	0.090746	0.197144	0.446103
ENSG00000179403.10	VWA1	chr1	+	1370241	1378262	0.397033	1.431551	3.239349
ENSG00000215915.5	ATAD3C	chr1	+	1385069	1405538	0.240053	15.003247	33.949722
ENSG00000224870.3	RP4-758J18.2	chr1	+	1334902	1337426	19.517725	76.361076	172.791763
ENSG00000242485.1	MRPL20	chr1	-	1337288	1342693	48.755981	790.307373	1788.327271
ENSG00000160072.14	ATAD3B	chr1	+	1407143	1433228	2.302551	29.257906	66.205528
ENSG00000205090.4	TMEM240	chr1	-	1470554	1475833	0.028788	0.062541	0.141520
ENSG00000197785.9	ATAD3A	chr1	+	1447531	1470067	4.525233	84.148895	190.414215
ENSG00000215014.3	AL645728.1	chr1	+	1510355	1511373	0.447498	0.972181	2.199877
ENSG00000228594.1	C1orf233	chr1	-	1533392	1535476	3.855156	8.375257	18.951742
ENSG00000197530.8	MIB2	chr1	+	1550795	1565990	1.335943	21.903570	49.563946
ENSG00000160075.10	SSU72	chr1	-	1477053	1510249	10.092055	552.171631	1249.467896
ENSG00000215790.2	SLC35E2	chr1	-	1656277	1677431	0.394072	5.712218	12.925751
ENSG00000008130.11	NADK	chr1	-	1682671	1711896	4.539033	105.416161	238.538345
ENSG00000189409.8	MMP23B	chr1	+	1567474	1570639	0.000000	0.000000	0.000000
ENSG00000248333.3	CDK11B	chr1	-	1570603	1590473	2.771254	46.128407	104.380524
ENSG00000189339.7	SLC35E2B	chr1	-	1592939	1624167	0.210078	1.577370	3.569312
ENSG00000008128.18	CDK11A	chr1	-	1634169	1655766	0.914361	49.754509	112.585754
ENSG00000178821.8	TMEM52	chr1	-	1849029	1850712	0.361045	0.784364	1.774878
ENSG00000116151.8	MORN1	chr1	-	2252692	2323146	0.168298	12.053043	27.273930
ENSG00000269753.1	AL589739.1	chr1	+	2258581	2259042	0.000000	0.000000	0.000000
ENSG00000157933.9	SKI	chr1	+	2160134	2241558	0.581372	10.562312	23.900665
ENSG00000067606.11	PRKCZ	chr1	+	1981909	2116834	0.159498	20.013895	45.287945
ENSG00000162585.11	C1orf86	chr1	-	2115903	2144159	1.020967	54.700356	123.777344
ENSG00000269554.1	AL590822.2	chr1	+	2121237	2123179	0.026228	0.056980	0.128935
ENSG00000203301.2	AL590822.1	chr1	-	2143360	2145620	0.000000	0.000000	0.000000
ENSG00000197921.5	HES5	chr1	-	2460184	2461684	0.101266	0.219999	0.497818
ENSG00000157881.9	PANK4	chr1	-	2439972	2458039	3.014158	49.877644	112.864380
ENSG00000157916.13	RER1	chr1	+	2323267	2335190	14.751875	270.911072	613.024353
ENSG00000157911.5	PEX10	chr1	-	2336236	2345236	5.764373	57.128304	129.271362
ENSG00000149527.12	PLCH2	chr1	+	2357419	2436969	0.009667	0.021001	0.047522
ENSG00000078369.12	GNB1	chr1	-	1716729	1822495	10.003970	731.262146	1654.718262
ENSG00000157870.10	FAM213B	chr1	+	2517930	2522908	6.318346	33.767208	76.409286
ENSG00000142606.11	MMEL1	chr1	-	2522078	2564481	0.003467	0.007532	0.017044
ENSG00000157873.13	TNFRSF14	chr1	+	2487078	2496821	17.402048	203.462936	460.401001
ENSG00000158109.10	TPRG1L	chr1	+	3541566	3546691	17.894512	81.597748	184.641418
ENSG00000162591.11	MEGF6	chr1	-	3406484	3528059	0.003451	0.077156	0.174590
ENSG00000162592.4	CCDC27	chr1	+	3668962	3688209	0.015638	0.033973	0.076876
ENSG00000235169.3	SMIM1	chr1	+	3689352	3692546	0.504928	3.753962	8.494560
ENSG00000142611.11	PRDM16	chr1	+	2985732	3355185	0.001646	0.003576	0.008092
ENSG00000215912.7	TTC34	chr1	-	2567415	2718286	0.003022	0.006565	0.014856
ENSG00000130764.5	LRRC47	chr1	-	3696784	3713068	8.981724	121.385086	274.673218
ENSG00000116213.11	WRAP73	chr1	-	3547331	3569325	3.333421	94.949120	214.853256
ENSG00000078900.9	TP73	chr1	+	3569084	3652765	0.996169	31.396936	71.045776
ENSG00000169598.11	DFFB	chr1	+	3773845	3801993	0.812511	14.581721	32.995884
ENSG00000116198.8	CEP104	chr1	-	3728645	3773778	1.512492	58.177860	131.646332
ENSG00000196581.5	AJAP1	chr1	+	4714792	4843850	0.001178	0.002559	0.005791
ENSG00000198912.6	C1orf174	chr1	-	3805689	3816857	8.401000	119.175652	269.673676
ENSG00000116254.13	CHD5	chr1	-	6161853	6240183	0.016076	0.058957	0.133409
ENSG00000158292.6	GPR153	chr1	-	6307406	6321035	2.298619	6.524211	14.763149
ENSG00000131697.13	NPHP4	chr1	-	5922871	6052533	0.111730	4.665451	10.557099
ENSG00000069424.10	KCNAB2	chr1	+	6051526	6161253	3.548986	256.742493	580.963379
ENSG00000268332.1	AL035406.1	chr1	-	6100630	6101399	0.000000	0.000000	0.000000
ENSG00000069812.7	HES2	chr1	-	6472478	6484730	1.183721	2.571613	5.819110
