Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSG00000237683.5	AL627309.1	chr1	-	134901	139379	3.476881	7.722005	19.368649
ENSG00000269831.1	AL669831.1	chr1	-	738532	739137	0.247525	0.549743	1.378887
ENSG00000188290.6	HES4	chr1	-	934342	935552	7.106774	18.399582	46.150578
ENSG00000187583.5	PLEKHN1	chr1	+	901877	911245	0.378682	0.917062	2.300213
ENSG00000187642.5	C1orf170	chr1	-	910579	917497	0.172279	0.382624	0.959714
ENSG00000187961.9	KLHL17	chr1	+	895967	901095	5.532433	27.076309	67.913902
ENSG00000187634.6	SAMD11	chr1	+	860260	879955	0.007616	0.016915	0.042426
ENSG00000268179.1	AL645608.1	chr1	-	861264	866445	0.000000	0.000000	0.000000
ENSG00000188976.6	NOC2L	chr1	-	879584	894689	9.726418	125.843292	315.645264
ENSG00000187608.5	ISG15	chr1	+	948803	949920	565.039734	1954.977661	4903.554688
ENSG00000237330.1	RNF223	chr1	-	1007126	1009687	0.058548	0.130033	0.326153
ENSG00000186827.6	TNFRSF4	chr1	-	1146706	1149518	4.679042	24.894032	62.440224
ENSG00000186891.9	TNFRSF18	chr1	-	1138888	1142071	6.029806	35.637466	89.387344
ENSG00000131591.13	C1orf159	chr1	-	1017198	1051741	0.683873	16.838276	42.234444
ENSG00000188157.9	AGRN	chr1	+	955503	991496	9.096622	102.368835	256.765656
ENSG00000078808.12	SDF4	chr1	-	1152288	1167411	14.694442	244.278473	612.709167
ENSG00000184163.3	FAM132A	chr1	-	1177826	1182102	0.081240	0.810858	2.033828
ENSG00000176022.3	B3GALT6	chr1	+	1167629	1170421	12.721446	28.253792	70.867310
ENSG00000162572.15	SCNN1D	chr1	+	1215816	1227409	0.189584	0.848301	2.127744
ENSG00000160087.16	UBE2J2	chr1	-	1189289	1209265	5.252610	181.539551	455.344910
ENSG00000224051.2	GLTPD1	chr1	+	1260136	1264277	11.358694	49.173222	123.338264
ENSG00000162576.11	MXRA8	chr1	-	1288069	1297157	0.308945	0.686154	1.721039
ENSG00000169962.4	TAS1R3	chr1	+	1266694	1270686	0.299524	0.665230	1.668557
ENSG00000107404.13	DVL1	chr1	-	1270656	1284730	4.312160	44.383537	111.324593
ENSG00000131584.14	ACAP3	chr1	-	1227756	1244989	3.612215	56.314301	141.249817
ENSG00000169972.7	PUSL1	chr1	+	1243947	1247057	7.715590	41.402573	103.847618
ENSG00000127054.13	CPSF3L	chr1	-	1246965	1260071	13.048979	189.281281	474.762970
ENSG00000175756.9	AURKAIP1	chr1	-	1309110	1310875	110.264732	437.792786	1098.089722
ENSG00000235098.4	ANKRD65	chr1	-	1353800	1357149	0.169851	1.612595	4.044776
ENSG00000221978.7	CCNL2	chr1	-	1321091	1334708	9.425134	124.056564	311.163727
ENSG00000179403.10	VWA1	chr1	+	1370241	1378262	2.637746	9.923458	24.890423
ENSG00000215915.5	ATAD3C	chr1	+	1385069	1405538	0.050179	2.440173	6.120541
ENSG00000224870.3	RP4-758J18.2	chr1	+	1334902	1337426	12.732821	44.804111	112.379494
ENSG00000242485.1	MRPL20	chr1	-	1337288	1342693	30.885220	453.681244	1137.941772
ENSG00000205090.4	TMEM240	chr1	-	1470554	1475833	0.027462	0.060992	0.152982
ENSG00000160072.14	ATAD3B	chr1	+	1407143	1433228	1.876426	25.065174	62.869484
